;Gesamtqualität;;;58;;20;;60;;30;;26;;34;;45;;40;;53;;54;;46;;36;;38;;27;;35;;33;;36;;50;;50;;56;;30;;50;;50;;50;;54;;35;;28;;40;;55;;30;;40;;48;;54;;31;;44;;30;;32;;40;;25;;20;;26;;52;;60;;60;;22;;53;;34;;48;;20;;20;;34;;56;;28;;20;;60;;54;;60;;60;;26;;26;;36;;60;;26;;22;;50;;30;;33;;60;;44;;30;;60;;58;;54;;30;;26;;30;;56;;56;;40;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Klangfarbe;;;20;;50;;10;;58;;58;;44;;30;;50;;20;;20;;50;;30;;49;;64;;33;;20;;34;;30;;32;;26;;44;;39;;30;;24;;46;;46;;27;;49;;25;;60;;60;;30;;30;;28;;44;;20;;42;;25;;45;;45;;34;;46;;20;;20;;36;;30;;37;;20;;30;;40;;19;;19;;52;;60;;20;;20;;12;;21;;31;;26;;24;;20;;60;;46;;60;;53;;25;;20;;22;;28;;20;;27;;50;;60;;40;;51;;20;;20;;48;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diskontinuität;;;20;;54;;10;;20;;25;;22;;30;;20;;24;;20;;20;;38;;26;;31;;52;;25;;30;;29;;21;;20;;34;;21;;20;;20;;25;;27;;25;;43;;25;;30;;20;;24;;20;;60;;48;;16;;20;;30;;20;;58;;59;;22;;20;;20;;20;;20;;43;;20;;60;;20;;21;;20;;43;;53;;20;;20;;12;;20;;21;;26;;24;;20;;20;;60;;20;;13;;22;;20;;16;;24;;20;;22;;20;;20;;40;;32;;21;;20;;45;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lautstärke;;;25;;20;;10;;50;;30;;24;;32;;25;;30;;24;;21;;28;;24;;27;;43;;23;;40;;34;;26;;26;;42;;52;;20;;24;;21;;39;;43;;30;;26;;30;;40;;36;;40;;23;;38;;52;;20;;27;;29;;50;;36;;24;;22;;20;;50;;15;;25;;27;;30;;50;;40;;20;;43;;40;;20;;60;;23;;20;;55;;46;;30;;20;;50;;30;;20;;34;;25;;22;;12;;38;;24;;20;;30;;30;;44;;63;;50;;32;;33;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rauschen;;;20;;56;;22;;62;;57;;55;;54;;20;;56;;27;;21;;30;;48;;48;;49;;43;;30;;43;;20;;30;;50;;28;;34;;20;;20;;54;;45;;31;;25;;40;;50;;20;;22;;22;;36;;20;;54;;30;;59;;46;;43;;34;;20;;20;;59;;22;;42;;31;;40;;50;;20;;57;;64;;52;;20;;19;;17;;21;;47;;58;;56;;26;;58;;44;;20;;10;;50;;20;;12;;54;;20;;20;;20;;20;;54;;60;;20;;24;;38;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1_C25.wav;;;F1_C01.wav Type: Gold;;F1_C04.wav Type: Normal;;F1_C06.wav Type: Normal;;F1_C09.wav Type: Normal;;F1_C11.wav Type: Normal;;F1_C14.wav Type: Normal;;F1_C20.wav Type: Normal;;F1_C23.wav Type: Normal;;F1_C30.wav Type: Normal;;F1_C32.wav Type: Normal;;F1_C35.wav Type: Normal;;F1_C37.wav Type: Normal;;F1_C41.wav Type: Normal;;F1_C44.wav Type: Normal;;F1_C47.wav Type: Normal;;F1_C49.wav Type: Normal;;F1_C52.wav Type: Normal;;F1_C55.wav Type: Normal;;F1_C58.wav Type: Normal;;F1_C61.wav Type: Normal;;F2_C01.wav Type: Gold;;F2_C03.wav Type: Normal;;F2_C06.wav Type: Normal;;F2_C08.wav Type: Normal;;F2_C11.wav Type: Normal;;F2_C13.wav Type: Normal;;F2_C20.wav Type: Normal;;F2_C23.wav Type: Normal;;F2_C25.wav Type: Normal;;F2_C32.wav Type: Normal;;F2_C34.wav Type: Normal;;F2_C37.wav Type: Normal;;F2_C40.wav Type: Normal;;F2_C43.wav Type: Normal;;F2_C45.wav Type: Normal;;F2_C48.wav Type: Normal;;F2_C51.wav Type: Normal;;F2_C54.wav Type: Normal;;F2_C56.wav Type: Normal;;F2_C59.wav Type: Normal;;F2_C62.wav Type: Normal;;M1_C03.wav Type: Normal;;M1_C05.wav Type: Normal;;M1_C08.wav Type: Normal;;M1_C10.wav Type: Normal;;M1_C13.wav Type: Normal;;M1_C20.wav Type: Normal;;M1_C22.wav Type: Normal;;M1_C25.wav Type: Normal;;M1_C32.wav Type: Normal;;M1_C35.wav Type: Normal;;M1_C37.wav Type: Normal;;M1_C40.wav Type: Normal;;M1_C42.wav Type: Normal;;M1_C45.wav Type: Normal;;M1_C48.wav Type: Normal;;M1_C50.wav Type: Normal;;M1_C54.wav Type: Normal;;M1_C56.wav Type: Normal;;M1_C59.wav Type: Normal;;M1_C62.wav Type: Normal;;M2_C02.wav Type: Normal;;M2_C05.wav Type: Normal;;M2_C08.wav Type: Normal;;M2_C10.wav Type: Normal;;M2_C13.wav Type: Normal;;M2_C19.wav Type: Normal;;M2_C22.wav Type: Normal;;M2_C25.wav Type: Normal;;M2_C31.wav Type: Normal;;M2_C34.wav Type: Normal;;M2_C36.wav Type: Normal;;M2_C39.wav Type: Normal;;M2_C43.wav Type: Normal;;M2_C46.wav Type: Normal;;M2_C49.wav Type: Normal;;M2_C52.wav Type: Normal;;M2_C55.wav Type: Normal;;M2_C58.wav Type: Normal;;M2_C60.wav Type: Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gesamtqualität;;;35;;30;;40;;60;;50;;40;;39;;25;;60;;38;;49;;30;;32;;55;;27;;53;;40;;46;;30;;44;;36;;20;;50;;26;;60;;42;;20;;39;;35;;50;;50;;36;;24;;51;;40;;50;;20;;40;;25;;19;;36;;54;;60;;30;;35;;35;;51;;44;;30;;50;;32;;58;;46;;20;;40;;56;;56;;54;;56;;26;;36;;30;;60;;30;;50;;36;;31;;30;;30;;60;;40;;26;;30;;40;;50;;56;;40;;36;;40;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Klangfarbe;;;55;;60;;48;;20;;35;;25;;33;;20;;20;;29;;20;;37;;24;;21;;50;;27;;30;;29;;26;;52;;36;;60;;30;;55;;23;;26;;26;;34;;33;;20;;50;;46;;40;;23;;42;;40;;20;;20;;55;;57;;30;;52;;20;;40;;20;;50;;36;;20;;30;;20;;20;;48;;50;;40;;30;;20;;26;;25;;21;;50;;24;;46;;20;;36;;26;;33;;43;;28;;23;;26;;35;;52;;51;;20;;30;;20;;54;;20;;36;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diskontinuität;;;20;;30;;10;;20;;27;;22;;35;;20;;20;;53;;20;;60;;48;;15;;40;;22;;30;;30;;24;;20;;34;;20;;20;;27;;20;;24;;53;;30;;30;;20;;40;;24;;30;;21;;34;;15;;60;;30;;54;;25;;23;;22;;20;;20;;20;;20;;20;;21;;30;;20;;20;;20;;55;;23;;30;;20;;15;;20;;21;;30;;22;;28;;20;;54;;20;;12;;26;;20;;18;;20;;25;;56;;20;;20;;24;;20;;20;;20;;34;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lautstärke;;;29;;30;;10;;20;;24;;26;;45;;23;;20;;22;;21;;33;;20;;25;;58;;25;;40;;30;;50;;26;;34;;60;;30;;28;;20;;48;;53;;53;;30;;50;;30;;22;;50;;21;;46;;26;;20;;20;;36;;50;;39;;26;;22;;27;;38;;23;;20;;28;;30;;20;;38;;20;;20;;53;;30;;20;;16;;22;;28;;30;;26;;60;;20;;36;;30;;54;;29;;22;;32;;24;;25;;23;;30;;30;;34;;20;;48;;20;;48;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rauschen;;;20;;60;;10;;60;;40;;30;;31;;62;;20;;24;;46;;40;;20;;36;;40;;27;;30;;48;;64;;40;;46;;60;;20;;22;;20;;23;;55;;32;;52;;20;;30;;20;;56;;43;;44;;15;;20;;27;;61;;60;;44;;51;;20;;50;;46;;44;;28;;21;;60;;26;;21;;59;;24;;63;;30;;49;;15;;30;;21;;56;;60;;44;;22;;50;;60;;40;;56;;57;;46;;20;;46;;44;;60;;54;;20;;46;;20;;60;;35;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1_C30.wav;;;F1_C01.wav Type: Gold;;F1_C04.wav Type: Normal;;F1_C06.wav Type: Normal;;F1_C09.wav Type: Normal;;F1_C11.wav Type: Normal;;F1_C14.wav Type: Normal;;F1_C20.wav Type: Normal;;F1_C23.wav Type: Normal;;F1_C30.wav Type: Normal;;F1_C32.wav Type: Normal;;F1_C35.wav Type: Normal;;F1_C37.wav Type: Normal;;F1_C41.wav Type: Normal;;F1_C44.wav Type: Normal;;F1_C47.wav Type: Normal;;F1_C50.wav Type: Normal;;F1_C52.wav Type: Normal;;F1_C55.wav Type: Normal;;F1_C58.wav Type: Normal;;F1_C61.wav Type: Normal;;F2_C01.wav Type: Gold;;F2_C03.wav Type: Normal;;F2_C06.wav Type: Normal;;F2_C08.wav Type: Normal;;F2_C11.wav Type: Normal;;F2_C14.wav Type: Normal;;F2_C20.wav Type: Normal;;F2_C23.wav Type: Normal;;F2_C25.wav Type: Normal;;F2_C32.wav Type: Normal;;F2_C34.wav Type: Normal;;F2_C37.wav Type: Normal;;F2_C40.wav Type: Normal;;F2_C43.wav Type: Normal;;F2_C45.wav Type: Normal;;F2_C49.wav Type: Normal;;F2_C51.wav Type: Normal;;F2_C54.wav Type: Normal;;F2_C56.wav Type: Normal;;F2_C59.wav Type: Normal;;F2_C62.wav Type: Normal;;M1_C03.wav Type: Normal;;M1_C05.wav Type: Normal;;M1_C08.wav Type: Normal;;M1_C10.wav Type: Normal;;M1_C13.wav Type: Normal;;M1_C20.wav Type: Normal;;M1_C23.wav Type: Normal;;M1_C25.wav Type: Normal;;M1_C32.wav Type: Normal;;M1_C35.wav Type: Normal;;M1_C37.wav Type: Normal;;M1_C40.wav Type: Normal;;M1_C42.wav Type: Normal;;M1_C45.wav Type: Normal;;M1_C48.wav Type: Normal;;M1_C50.wav Type: Normal;;M1_C54.wav Type: Normal;;M1_C56.wav Type: Normal;;M1_C59.wav Type: Normal;;M1_C62.wav Type: Normal;;M2_C02.wav Type: Normal;;M2_C05.wav Type: Normal;;M2_C08.wav Type: Normal;;M2_C10.wav Type: Normal;;M2_C13.wav Type: Normal;;M2_C19.wav Type: Normal;;M2_C22.wav Type: Normal;;M2_C25.wav Type: Normal;;M2_C31.wav Type: Normal;;M2_C34.wav Type: Normal;;M2_C36.wav Type: Normal;;M2_C39.wav Type: Normal;;M2_C43.wav Type: Normal;;M2_C46.wav Type: Normal;;M2_C49.wav Type: Normal;;M2_C52.wav Type: Normal;;M2_C55.wav Type: Normal;;M2_C58.wav Type: Normal;;M2_C60.wav Type: Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gesamtqualität;;;56;;40;;50;;20;;30;;34;;50;;24;;22;;52;;59;;30;;40;;48;;28;;58;;28;;44;;40;;30;;48;;20;;50;;37;;54;;46;;33;;40;;40;;50;;40;;34;;38;;57;;46;;30;;32;;48;;23;;20;;39;;36;;60;;40;;58;;38;;32;;50;;20;;30;;35;;62;;35;;20;;30;;57;;43;;58;;38;;34;;30;;35;;26;;30;;30;;25;;34;;30;;13;;40;;36;;46;;25;;54;;26;;26;;20;;30;;50;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Klangfarbe;;;21;;50;;52;;20;;53;;24;;28;;20;;20;;28;;21;;30;;50;;47;;42;;26;;44;;32;;60;;53;;30;;30;;24;;45;;48;;27;;32;;40;;40;;20;;50;;40;;50;;26;;34;;59;;52;;20;;54;;21;;36;;31;;20;;42;;20;;53;;33;;50;;20;;20;;34;;20;;46;;52;;50;;20;;30;;26;;31;;30;;26;;47;;54;;36;;50;;53;;45;;36;;32;;28;;50;;46;;60;;20;;35;;60;;30;;20;;36;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diskontinuität;;;20;;30;;10;;20;;24;;21;;28;;20;;60;;24;;20;;48;;20;;21;;26;;20;;34;;32;;20;;22;;30;;45;;20;;24;;22;;27;;24;;30;;40;;20;;50;;40;;20;;38;;34;;20;;20;;20;;20;;20;;22;;48;;20;;20;;20;;20;;23;;20;;20;;24;;32;;20;;54;;35;;50;;20;;15;;20;;23;;28;;50;;27;;20;;36;;20;;11;;22;;22;;62;;20;;30;;21;;20;;20;;42;;40;;60;;20;;34;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lautstärke;;;21;;40;;20;;60;;24;;51;;32;;60;;60;;28;;22;;40;;28;;29;;30;;21;;48;;45;;26;;46;;34;;60;;30;;27;;24;;26;;46;;40;;40;;50;;24;;34;;30;;25;;34;;61;;20;;30;;24;;60;;26;;23;;20;;20;;20;;26;;23;;20;;40;;28;;32;;20;;20;;22;;60;;58;;29;;20;;26;;56;;30;;40;;52;;58;;60;;42;;25;;22;;20;;26;;30;;46;;28;;20;;50;;63;;26;;20;;43;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
